ticker,quarter,Equity,Net Income,Net Interest Income,Total Assets,Total Loans,ROE,ROA,NIM,NPL,Equity_YoY_Growth,Net Income_YoY_Growth,Net Interest Income_YoY_Growth,Total Assets_YoY_Growth,Total Loans_YoY_Growth,ROE_YoY_Growth,ROA_YoY_Growth,NIM_YoY_Growth
TCB,2016-Q3,18.742685,1.022338,2.012408,222.769955,134.035933,0.05454597353580876,0.004589209527828831,0.009033570079053076,,0.15977669885730728,1.529569100963739,0.2898496847815779,0.2713952733546905,0.444409179656192,1.181082878674875,0.9896008377388761,0.014515085759438051
TCB,2016-Q4,19.631881,0.858609,1.914656,235.363026,141.120529,0.04373544236540553,0.0036480198890712764,0.008134905607476341,,0.18779100511493785,1.2849565953279436,-0.0712591089955622,0.22579115596489374,0.277555541704559,0.9237025583527103,0.8640667981727415,-0.2423335031542384
TCB,2017-Q1,20.652506,1.059303,2.184177,232.522122,136.175111,0.05129174154458545,0.004555708467171137,0.00939341590904628,,0.21796562616271387,1.2266333432827037,0.08035262938696919,0.16843354531039623,0.2079135369675349,0.8281577866018013,0.9056568105387588,-0.0753837616841343
TCB,2017-Q2,21.751118,1.124966,2.221916,232.342274,130.158731,0.05171991619005514,0.004841848108967032,0.009563115492275847,,0.22641025278145444,0.42013189321295297,0.012986503792460358,0.09246906387724563,0.03047659492568444,0.15795826885183395,0.2999287029445119,-0.07275497559875643
TCB,2017-Q3,19.433187,1.7062,2.05536,233.501777,135.565473,0.08779825975018919,0.0073070107727702645,0.008802331298746389,,0.036841146292540206,0.668919672358848,0.0213435844023675,0.04817445871459647,0.011411417563676807,0.6096194468424092,0.5922155500769286,-0.02559771809850464
TCB,2017-Q4,26.930745,2.555127,2.468959,269.39238,158.964456,0.09487769462003372,0.009484778299965278,0.009164917730783624,,0.3717862796743725,1.9758912380373377,0.28950526883158134,0.14458241202252387,0.1264445869530435,1.1693548638959554,1.5999798763103619,0.12661635832143592
TCB,2018-Q1,37.615799,2.049029,2.546672,273.152696,161.610608,0.05447256350981671,0.007501405001691801,0.009323254125963304,,0.8213672955717821,0.9343181318281926,0.16596411371422737,0.17473853089986857,0.18678521216700195,0.06201431009056946,0.646594608884135,-0.0074692512034314484
TCB,2018-Q2,47.42944,2.100748,2.503946,300.404808,164.180966,0.0442920683862175,0.0069930571816946415,0.008335239427992112,,1.1805518226695288,0.86738799217043,0.1269309910905725,0.29294081024618013,0.2613903403836968,-0.14361677958917285,0.4442950345227894,-0.12839707575167258
TCB,2018-Q3,49.481001,2.059564,3.116905,311.795636,164.28201,0.04162332932593663,0.0066054933494963984,0.009996628047738295,,1.5462113342500126,0.2071058492556559,0.5164764323524833,0.33530305424613527,0.21182780810273139,-0.5259207933691767,-0.09600607486279977,0.13567959537741947
TCB,2018-Q4,51.782705,2.264749,3.020388,321.049453,157.556934,0.043735625630217656,0.007054206069617567,0.009407859044070696,,0.9228099705373913,-0.11364523172429397,0.223344737599936,0.1917540243714393,-0.008854318980590192,-0.5390315310108437,-0.2562603103075808,0.02650774621479335
TCB,2019-Q1,53.874961,2.092109,3.430416,326.111765,161.272479,0.03883267776286651,0.0064153128606077746,0.010519142110680982,,0.432242898788352,0.021024592624116156,0.3470191685462438,0.1938808211506724,-0.002092245083317845,-0.28711492059909527,-0.14478516235812877,0.12826937553781592
TCB,2019-Q2,56.365695,2.432682,3.198514,360.661683,182.887287,0.043158910752364534,0.0067450525372278036,0.008868460806245392,,0.1884115646315876,0.15800752874690338,0.2773893686205693,0.20058558783120395,0.11393720877485869,-0.025583759691962693,-0.035464409631316474,0.06397193300321646
TCB,2019-Q3,58.940723,2.582592,3.724705,367.538462,202.462011,0.04381676824697247,0.007026725817881885,0.010134191071409556,,0.19117887287688462,0.2539508361963989,0.19500113092956006,0.17878000704281827,0.23240524632003212,0.05269734441134788,0.06377002384198915,0.013760942491241712
TCB,2019-Q4,62.072767,3.118826,3.904209,383.699461,227.885283,0.05024467493127864,0.008128304355371508,0.010175174574978097,,0.19871619298373844,0.37711772916115627,0.29261836558746745,0.19514130117518058,0.44636784440093247,0.14882716794986872,0.1522635254986493,0.08156112111299141
TCB,2020-Q1,64.59077,2.505654,4.212412,391.807859,229.037642,0.03879275630248718,0.006395109088406519,0.010751218749800524,,0.19890147113053147,0.19766895510702343,0.22795952444251633,0.20145269521325004,0.42019049635865025,-0.0010280377939196894,-0.0031493042724874964,0.02206231617347343
TCB,2020-Q2,67.429203,2.888995,3.935378,395.861051,229.38547,0.04284486352300501,0.00729800265194567,0.009941311452740019,,0.19628087616057965,0.18757609913667306,0.23037698131069617,0.09759663878682678,0.25424502579011965,-0.00727653279206808,0.0819786223555683,0.12097371459758821
TCB,2020-Q3,70.608353,3.180267,5.14768,401.461729,228.667892,0.045040945792914906,0.007921718984077808,0.01282234302338692,,0.19795532538682958,0.2314244758753996,0.3820369666859522,0.09229854969573226,0.12943604022583766,0.027938563132780203,0.1273698717428693,0.2652557005325411
TCB,2020-Q4,74.614786,4.007551,5.455739,439.602933,275.310367,0.05370987728893306,0.0091162972290724,0.012410606459716228,,0.20205348667637124,0.2849549798545994,0.3973993195548704,0.1456959878293913,0.2081094635672458,0.06896655938950547,0.12154968988679515,0.21969469597458402
TCB,2021-Q1,79.092765,4.476217,6.123721,462.82269,293.799393,0.05659451910677291,0.009671559101823638,0.013231246290020914,,0.22452116610469264,0.7864465724317884,0.45373268331777616,0.1812491234383331,0.282755927953537,0.45889399210193216,0.5123368449424712,0.23067408430010827
TCB,2021-Q2,83.90101,4.806657,6.5878,504.303766,310.617819,0.05728962023222367,0.009531273260410275,0.013063158445657929,,0.24428298522229297,0.6637816957107923,0.6739942135164652,0.2739413608033896,0.3541303161006668,0.3371409200886526,0.3060112081309272,0.314027682138202
TCB,2021-Q3,88.384441,4.432055,6.742489,541.635295,317.668922,0.05014519467289497,0.008182729303118991,0.012448392972618225,,0.2517561626171907,0.39361097668843525,0.30981121592639793,0.3491579791407715,0.3892152467124681,0.11332463806261783,0.032948697065093846,-0.029163940637576213
TCB,2021-Q4,93.055837,4.683818,7.244603,568.811435,343.605581,0.05033341433487939,0.008234394936170718,0.012736387762668661,,0.24715008899174484,0.16874819559376775,0.32788665293555996,0.29392092795704783,0.2480662633383508,-0.06286484208276888,-0.09673908942868215,0.026250232332311274
TCB,2022-Q1,98.58599,5.614544,8.111063,615.270328,361.815215,0.05695072900317784,0.009125328728675506,0.01318292566840636,,0.2464602799004434,0.25430558884879795,0.32453176753153845,0.32938669882412186,0.23150429721956578,0.0062940705571310485,-0.05647800601716191,-0.0036520083260030978
TCB,2022-Q2,104.475159,5.882255,7.79384,623.738504,387.775129,0.05630290545908621,0.009430642748968404,0.012495364563865373,,0.245219324534949,0.22377257208076196,0.18307173866844795,0.2368309460532565,0.24839949700374397,-0.017223273066531264,-0.01055792953286272,-0.04346528323563936
TCB,2022-Q3,109.899149,5.36754,7.565461,671.353524,406.148421,0.04884059657277237,0.007995102145319193,0.011268967436000232,,0.24342189367922806,0.21107251602247712,0.12205759623782853,0.23949367812154843,0.2785274002975966,-0.026016413110622083,-0.022929654745914796,-0.09474520439805234
TCB,2022-Q4,113.424966,3.572087,6.819411,699.032544,415.752256,0.031492951913249856,0.005110043918069714,0.009755498593782209,,0.21889147050496138,-0.23735572133673855,-0.058690862701517243,0.22893546259315278,0.2099694504088978,-0.37431322056317795,-0.37942690899811726,-0.23404510167503456
TCB,2023-Q1,117.965416,4.537097,6.52688,723.5178,460.145233,0.038461246981064345,0.006270885111603336,0.009021035833534434,,0.19657383366541237,-0.19190285088156767,-0.19531139136756792,0.17593481608623907,0.2717686098413523,-0.32465751265592724,-0.31280447005731893,-0.3157030495018366
TCB,2023-Q2,122.46497,4.503449,6.294877,732.470169,460.753044,0.0367733646609312,0.00614830363146161,0.00859403872869531,,0.17219223375386283,-0.23440092277536417,-0.19232663231475122,0.17432251544951916,0.18819648178106863,-0.34686559492647484,-0.34805041447104346,-0.31222184956908594
TCB,2023-Q3,127.129786,4.668705,7.27216,781.278666,469.588515,0.03672392715268159,0.00597572313589835,0.00930802326554249,,0.1567859001346772,-0.1301965146044557,-0.03876842402597802,0.1637365978881793,0.1561992875505971,-0.2480860241343893,-0.25257701186508374,-0.17401276395504017
TCB,2023-Q4,131.628065,4.481615,7.597203,849.482012,512.513672,0.034047564248551404,0.00527570323643298,0.008943335930225678,,0.16048582284785518,0.2546208980912279,0.11405559805678234,0.21522526996969127,0.23273816221937715,0.08111695411527164,0.03241837467922237,-0.0832517841860152
TCB,2024-Q1,137.872726,6.277003,8.499544,885.653461,552.577121,0.045527517893568015,0.0070874255862022765,0.009596918404635467,,0.16875547660510937,0.3834844174590051,0.30223690339028764,0.224093534395422,0.20087546576843485,0.18372443607932443,0.13021135933236194,0.06383774343964688
TCB,2024-Q2,138.551657,6.269968,9.477926,908.3067,584.713478,0.04525364860847532,0.006902919465418454,0.010434719902429434,,0.1313574567486524,0.39225913294454995,0.5056570604953838,0.24005964808103997,0.26903877383824737,0.23060941052679218,0.12273561606414218,0.21418115880582755
TCB,2024-Q3,144.367982,5.793022,8.928676,927.053345,617.92457,0.040126778249210404,0.00624885507532471,0.009631242957221625,,0.13559525696047348,0.24081988474319949,0.22778871751996643,0.18658474286305426,0.31588518513916397,0.09266032694110526,0.045706926712443696,0.03472484784988317
TCB,2024-Q4,147.939621,3.420111,8.601817,978.798549,623.634271,0.02311828958923722,0.0034941929608438764,0.008788138283192326,,0.12392156642278374,-0.23685747213894992,0.1322347184878434,0.15222987087806628,0.21681489698873824,-0.3210001919529143,-0.3376820483924001,-0.01735344039899389
TCB,2025-Q1,153.952665,6.013511,8.305393,989.215993,655.007208,0.03906077884393882,0.0060790677087243575,0.008395934819869012,,0.11662886102650938,-0.04197735766575217,-0.022842519551637075,0.1169334695345361,0.18536794794296219,-0.1420402286095811,-0.14227421017879593,-0.1251426274694969
TCB,2025-Q2,161.827229,6.34761,9.137076,1037.645395,700.801926,0.039224610340451424,0.006117321033357451,0.00880558622823166,,0.1679920147039453,0.012383157298410552,-0.035962509097454354,0.14239539904307663,0.19853903213771984,-0.13322767231844257,-0.11380669237075924,-0.15612624866130576
TCB,2025-Q3,179.430593,6.613525,9.924643,1129.570458,756.078003,0.03685840240186912,0.005854902589883419,0.008786209775326827,,0.2428697174696255,0.14163643776944057,0.11154699756156461,0.21845249153380686,0.22357653297391944,-0.08145124004331439,-0.06304394656181389,-0.0877387462498993
TCB,2025-Q4,179.501442,6.979826,10.787979,1192.344137,757.118751,0.038884512136676874,0.005853868680531785,0.009047705830250583,,0.21334258386399418,1.040818558228081,0.2541511868945827,0.21817113257694465,0.21404288732554266,0.6819804936944669,0.6753135119126414,0.029536124568577904
